City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Stabat,ID,2021-10-06 20:31:14,3.761,98.4513,77.2,96,100,0.94
130,Tuktoyaktuk,CA,2021-10-06 20:31:15,69.4541,-133.0374,35.6,69,20,12.66
131,Avarua,CK,2021-10-06 20:31:15,-21.2078,-159.775,77.05,69,20,13.8
132,Segou,ML,2021-10-06 20:31:15,13.4317,-6.2157,91.02,31,73,5.14
133,Port Hardy,CA,2021-10-06 20:31:16,50.6996,-127.4199,51.98,82,75,6.91
134,Dudinka,RU,2021-10-06 20:31:16,69.4058,86.1778,36.72,99,100,6.51
135,Vaini,TO,2021-10-06 20:31:16,-21.2,-175.2,78.96,83,75,8.05
136,Show Low,US,2021-10-06 20:29:49,34.2542,-110.0298,70.48,46,1,17.27
137,Dingle,PH,2021-10-06 20:31:17,10.9995,122.6711,75.0,90,92,1.63
138,Chokurdakh,RU,2021-10-06 20:30:59,70.6333,147.9167,18.81,90,100,9.64
139,Ajaccio,FR,2021-10-06 20:31:17,42.0,8.9167,57.25,88,0,6.91
140,Dikson,RU,2021-10-06 20:31:18,73.5069,80.5464,31.26,81,100,9.73
141,Marsaxlokk,MT,2021-10-06 20:31:18,35.8419,14.5431,74.01,88,20,13.8
142,Vina Del Mar,CL,2021-10-06 20:31:18,-33.0246,-71.5518,77.07,45,0,9.22
143,Xichang,CN,2021-10-06 20:31:19,27.8964,102.2634,64.72,93,88,2.1
144,Pascagoula,US,2021-10-06 20:31:19,30.3658,-88.5561,86.41,68,20,0.0
145,Curup,ID,2021-10-06 20:31:20,-3.4667,102.5333,65.93,97,95,1.81
146,Puqi,CN,2021-10-06 20:31:20,29.7167,113.8833,59.76,82,99,6.46
147,Valdemarpils,LV,2021-10-06 20:31:20,57.3707,22.5919,56.62,59,100,13.87
148,Villa Carlos Paz,AR,2021-10-06 20:31:21,-31.4241,-64.4978,64.06,34,2,14.0
149,Padang,ID,2021-10-06 20:31:21,-0.9492,100.3543,76.95,85,100,2.62
150,Bethel,US,2021-10-06 20:30:33,41.3712,-73.414,70.39,80,90,3.44
151,Coihaique,CL,2021-10-06 20:31:21,-45.5752,-72.0662,56.01,28,0,6.91
152,Tasiilaq,GL,2021-10-06 20:30:54,65.6145,-37.6368,33.96,63,0,5.14
153,Hami,CN,2021-10-06 20:31:22,42.8,93.45,53.69,33,95,11.92
