City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
135,Salinopolis,BR,-0.6136,-47.3561,81.52,77,63,12.5,broken clouds
136,Hervey Bay,AU,-25.2986,152.8535,70.02,71,0,6.73,clear sky
137,Nanortalik,GL,60.1432,-45.2371,38.89,73,91,2.21,overcast clouds
138,Mahebourg,MU,-20.4081,57.7,73.26,78,40,12.66,scattered clouds
139,La Primavera,CO,5.4906,-70.4092,83.7,76,89,3.69,heavy intensity rain
140,Ferrol,ES,43.4832,-8.2369,63.57,84,100,11.56,overcast clouds
141,Novoagansk,RU,61.9449,76.6625,38.88,93,100,10.09,overcast clouds
142,Hasaki,JP,35.7333,140.8333,68.4,87,48,15.52,scattered clouds
143,Kassala,SD,15.451,36.4,85.6,22,51,6.67,broken clouds
144,Kenai,US,60.5544,-151.2583,39.09,66,1,3.44,clear sky
145,Sheffield,GB,53.383,-1.4659,55.76,87,100,5.97,overcast clouds
146,Paamiut,GL,61.994,-49.6678,37.0,82,0,10.29,clear sky
147,Luena,AO,-11.7833,19.9167,65.98,72,32,4.29,scattered clouds
148,Mayskiy,RU,47.6931,40.1025,58.44,52,100,6.33,overcast clouds
149,Egvekinot,RU,66.3167,-179.1667,16.18,83,47,12.91,scattered clouds
150,Nizwa,OM,22.9333,57.5333,77.88,18,0,3.04,clear sky
151,Lasa,IT,46.6166,10.7002,45.48,81,1,1.19,clear sky
152,Fortuna,US,40.5982,-124.1573,82.18,58,1,3.0,clear sky
153,Lebu,CL,-37.6167,-73.65,53.24,80,100,14.94,overcast clouds
154,Saint-Augustin,CA,51.226,-58.6502,44.76,73,37,6.17,scattered clouds
155,Santa Maria,BR,-29.6842,-53.8069,65.5,77,75,6.91,broken clouds
156,Cururupu,BR,-1.8283,-44.8683,77.45,89,86,3.11,overcast clouds
157,Yulara,AU,-25.2406,130.9889,69.64,24,57,9.22,broken clouds
158,Moerai,PF,-22.4333,-151.3333,77.49,79,7,14.34,clear sky
159,Fairbanks,US,64.8378,-147.7164,29.61,88,90,0.0,overcast clouds
160,Akureyri,IS,65.6835,-18.0878,31.93,69,40,0.0,scattered clouds
161,Bathsheba,BB,13.2167,-59.5167,84.81,79,20,8.05,few clouds
162,Ust-Nera,RU,64.5667,143.2,-0.94,98,51,4.41,broken clouds
163,Padang,ID,-0.9492,100.3543,78.58,81,100,3.85,overcast clouds
164,Bengkulu,ID,-3.8004,102.2655,76.66,85,99,3.02,overcast clouds
165,Uniao,BR,-4.5858,-42.8642,95.02,35,98,2.13,overcast clouds
166,Achacachi,BO,-16.05,-68.6833,52.5,67,10,12.3,clear sky
167,Khasan,RU,42.4308,130.6434,33.28,41,0,16.82,clear sky
168,Khatanga,RU,71.9667,102.5,15.73,94,100,7.14,overcast clouds
169,Batagay-Alyta,RU,67.8006,130.4114,-3.93,89,24,3.94,few clouds
170,Sindor,RU,62.8629,51.8905,42.01,94,100,10.6,overcast clouds
171,Dubai,AE,25.2582,55.3047,85.93,70,0,3.44,clear sky
172,Camacha,PT,33.0833,-16.3333,67.42,78,20,5.75,few clouds
173,Khorramshahr,IR,30.4397,48.1664,84.16,34,0,4.61,clear sky
174,Sao Filipe,CV,14.8961,-24.4956,78.46,79,100,12.53,overcast clouds
175,Matagami,CA,49.7502,-77.6328,50.11,100,90,14.97,moderate rain
176,Geraldton,AU,-28.7667,114.6,52.21,87,75,10.36,broken clouds
177,Nador,MA,35.174,-2.9287,66.45,72,0,1.14,clear sky
178,Aksehir,TR,38.3575,31.4164,54.72,77,82,5.32,broken clouds
179,Estepa,ES,37.2926,-4.879,68.79,33,100,3.38,overcast clouds
180,Wucheng,CN,29.6008,118.175,50.31,87,100,5.84,overcast clouds
181,Carballo,ES,43.213,-8.691,62.76,89,100,8.08,overcast clouds
182,Pacific Grove,US,36.6177,-121.9166,93.58,19,1,5.99,clear sky
183,Acajutla,SV,13.5928,-89.8275,97.14,69,71,6.4,broken clouds
184,Soyo,AO,-6.1349,12.3689,76.93,79,10,8.01,clear sky
185,Lazaro Cardenas,MX,17.9583,-102.2,84.42,77,21,8.12,few clouds
186,Zhangye,CN,38.9342,100.4517,43.54,45,2,4.56,clear sky
187,Savelugu,GH,9.6244,-0.8253,82.11,55,12,4.72,few clouds
188,Hofn,IS,64.2539,-15.2082,34.95,74,100,10.96,light snow
189,Poum,NC,-20.2333,164.0167,76.78,78,21,5.12,few clouds
190,Puro,PH,12.4841,123.3827,79.25,85,70,3.49,broken clouds
191,Marawi,PH,7.9986,124.2928,66.65,94,99,1.92,overcast clouds
192,Carutapera,BR,-1.195,-46.02,79.68,82,54,7.2,broken clouds
193,Hirara,JP,24.8,125.2833,78.03,77,79,35.5,broken clouds
194,Dikson,RU,73.5069,80.5464,30.34,98,100,11.54,snow
195,Codrington,AU,-38.2667,141.9667,52.07,85,96,8.39,overcast clouds
196,San Cristobal,VE,7.7669,-72.225,77.18,67,100,2.19,moderate rain
197,Aklavik,CA,68.2191,-135.0107,25.52,93,75,2.3,broken clouds
198,Basavana Bagevadi,IN,16.5833,75.9667,72.88,83,99,6.24,overcast clouds
199,Ilulissat,GL,69.2167,-51.1,24.82,33,4,11.5,clear sky
200,Iskateley,RU,67.6803,53.1512,36.75,97,100,12.08,overcast clouds
201,Mattawa,US,46.7379,-119.9028,69.69,34,75,4.85,broken clouds
202,Cabo San Lucas,MX,22.8909,-109.9124,90.61,58,20,5.75,few clouds
203,Homer,US,59.6425,-151.5483,39.09,74,40,9.22,scattered clouds
204,Kodiak,US,57.79,-152.4072,42.31,49,1,8.05,clear sky
205,Griffith,US,41.5284,-87.4237,61.14,42,40,1.01,scattered clouds
206,Sorong,ID,-0.8833,131.25,81.84,81,100,14.88,light rain
